text,gpt_response
"בעניין נסיבותיו של כל אחד מהנאשמים ובעניין קביעת עונשיהם בגדרי מתחמי הענישה, טען בא-כוח המאשימה כי כל הנאשמים הודו בעובדות כתב האישום המתוקן.",לא נכון
"כמו כן, מכל תסקירי שירות המבחן עלה כי כולם אף טענו כי פעלו מתוך מצוקה כלכלית וחלקם טענו כי מצוקה זו הייתה על רקע משבר הקורונה.",לא נכון
"נוסף לכך, בעניין כל אחד מהנאשמים נשקלו השיקולים שיפורטו עתה, אשר לפיהם טען בא-כוח המאשימה בעניין מיקום העונש בגדרי המתחמים.",לא נכון
"הנאשם 5, הלל שלום ארליך – נשקלו נסיבותיו הרפואיות, אך ניתן משקל גם לכך שעל-פי התסקיר, ישנו שיפור במצבו ובתפקודו והוא אף עבד ועתה הוא מתנדב.",לא נכון
"כמו כן, הוא הכיר באחריותו לעבירות והוא נעדר הרשעות קודמות.",לא נכון
עמדת המאשימה היא כי על עונשו להיקבע בחלקו התחתון של מתחם העונש בעניינו (בין 24 ל-48 חודשי מאסר) ובהתאם לכך להשית עליו 24 חודשי מאסר בפועל.,לא נכון
"בעניין נסיבותיהם של שאר הנאשמים ובעניין עונשם בתוך מתחם העונש (בין 12 ל-24 חודשי מאסר), עמדת המאשימה היא כלהלן: הנאשם 1, שלום ג'נאח – לחובתו הרשעות קודמות בעבירות סמים ובעבירת סחיטה.",לא נכון
"על עונשו להיקבע במרכז מתחם העונש ובהתאם לכך להשית עליו 18 חודשי מאסר; הנאשם 2, שלולמי משען – לחובתו שבע הרשעות קודמות ומגיל צעיר הוא נשא בעונשי מאסר לא קצרים.",לא נכון
"עם זאת, ניכרת מודעותו לעבירות ולפיכך לא ביקשו למקם את עונשו בחלקו העליון של מתחם העונש, אלא בשליש האמצעי ובהתאם לכך להשית עליו 20 חודשי מאסר; הנאשם 3, ארז דוד גרופי – הוא נעדר הרשעות קודמות, ניתן משקל לנסיבות המצערות של מות בתו על רקע תסמונת נדירה והעובדה שהמשבר הכלכלי של המשפחה היה קשור באירוע מצער זה.",לא נכון
"הוא אף מודע למניעיו לעבירות, אולם הוא אינו בתהליך שיקום, אלא הביע כוונה לשינוי והדבר נזקף לזכותו.",לא נכון
"את עונשו יש להעמיד בתחתית מתחם  העונש ולהשית עליו 12 חודשי מאסר בפועל; הנאשם 4, מושיק זרקון – לחובתו הרשעה קודמת בעבירת סמים.",לא נכון
"על עונשו להיקבע במרכז מתחם העונש ובהתאם לכך להשית עליו 18 חודשי מאסר; הנאשם 6, דוד ביטרוב – לחובתו הרשעה אחת, אך ניתן משקל גם לכך שאת העבירה הנוכחית עבר במהלך תקופת מבחן ואף תלוי נגדו כתב אישום נוסף.",לא נכון
על עונשו להיקבע במרכז מתחם העונש ובהתאם לכך להשית עליו 18 חודשי מאסר בפועל.,לא נכון
"נוסף על עונש המאסר, עתרה המאשימה להשית על כל אחד מהנאשמים גם מאסר מותנה וקנס בסך 50,000 ₪, כפי שהוסכם בהסדר הטיעון.",לא נכון
"בעניין המלצות שירות המבחן ובעניין טענות בדבר נכונות להשתתף בהליך שיקום הוסיף בא-כוח המאשימה, כי מכלל התסקירים עולה כי אף אם אין מדובר בנאשמים בעלי דפוסי עבריינות מגובשים, הם בעלי דפוסי התנהלות שוליים ואימפולסיביים, שאינם יודעים לחשוב על השלכות מעשיהם ולהתמודד עם מצב של מצוקה.",לא נכון
בנסיבות אלו ישנה חשיבות להעברת מסר מרתיע של התממשות תוצאת מעשיהם המתמשכים הכרוכים בפעילות עבריינית נמשכת ומורכבת.,לא נכון
"עוד טען, כי למעט הנאשם 4, שלגביו אין המלצה טיפולית, לגבי שאר הנאשמים הומלץ על עבודות שירות לצד העמדה במבחן ושילוב במסגרת טיפולית.",לא נכון
"בפועל, אף לא אחד מהנאשמים משולב בתהליך שיקומי טיפולי ולכן אין הצדקה לחריגה ממתחם העונש משיקולי שיקום.",לא נכון
"ההמלצה בעניין הנאשם 5 אף אינה רלוונטית, מאחר שדובר בטיפול זוגי, שאינו רלוונטי לנושא השיקום.",לא נכון
"כמו כן, לנוכח היקף עבירות הסמים הנדונות, עמדת המאשימה היא כי אין מקום לשקילת עבודות שירות חלף מאסר בפועל.",לא נכון
אלו עבירות שבהן הרווח הכספי מפתה ולכן דרושה ענישה מוחשית ומסר מרתיע.,לא נכון
בא-כוח הנאשם 5 ביקש לאמץ את המלצת שירות המבחן.,לא נכון
"לטענתו, הנאשם 5 הוא צעיר שנסיבות חייו, כפי שפורטו בתסקיר בעניינו, אינן פשוטות.",לא נכון
מהרגע הראשון הוא הכיר באחריותו למעשים.,לא נכון
הוא התחתן לפני מספר חודשים ומאז הוא עסוק בשיקום חייו.,לא נכון
"אמנם העבירות אינן פשוטות, אך ישנם שני נימוקים מרכזיים המצדיקים להימנע מהשתת מאסר בפועל.",לא נכון
"האחד, הנימוק הרפואי והמחלה שממנה הוא סובל אשר השפיעה עליו מאז ילדותו וכן מאחר שמאסר עלול לפגוע בבריאותו.",לא נכון
"השני, נימוק השיקום והטיפול הפרטני (הזוגי) שניתן לו, שהוא מחויב לו ושנמשך גם לאחר גירושיו וכן העובדה שאין לחובתו הרשעות קודמות.",לא נכון
"בא-כוח הנאשם 5 הוסיף כי תסקיר שירות המבחן חיובי, כי מדובר בנאשם בעל שאיפות נורמטיביות אשר פעיל גם בעזרה לאחרים ובסיוע לנוער במצוקה.",לא נכון
"לכן וכאמור, לטענת בא-כוח הנאשם יש לחרוג ממתחם העונש, כפי שעל-פי טענתו נעשה ב""פסק דין לופוליאנסקי"", אשר במסגרתו לא נשלח לכלא אדם שניהל ארגון חסד בשל החשש מפגיעה במצבו הבריאותי (כך נטען בלי להפנות אל פסק הדין, אל נסיבותיו או אל קביעותיו).",לא נכון
"עוד הוסיף, כי הנאשם 5 סובל ממחלה נדירה, הפוגעת בשרירים, במפרקים ובעור ואף עשויה לפגוע בדרכי הנשימה ובמערכת החיסונית ולכן אף בתפקוד היומיומי.",לא נכון
"לטענתו, בתקופת הקורונה, אף יש לתת לכך משקל יתר וכן יש לשקול את יכולת שירות בתי הסוהר להעניק לנאשם 5 טיפול מתאים ותזונה מתאימה.",לא נכון
"בעניין מתחם הענישה, מדיניות הענישה הנוהגת ונסיבותיו של הנאשם 5, טען בא-כוחו כי לנוכח מכלול נסיבותיו והעובדה שאין לחובתו הרשעות קודמות, יש להשית עליו מאסר בעבודות שירות.",לא נכון
לתמיכה בכך הפנה אל ארבעת פסקי הדין הבאים.,לא נכון
בא-כוח הנאשמים 4-1 טען כי לא ניתן להסתמך על פסקי הדין שאליהם הפנה בא-כוח המאשימה בשל שונות הנסיבות בין אותם מקרים לבין נסיבותיהם של הנאשמים.,לא נכון
"לטענתו, אף יש לתת משקל להרשעת הנאשמים 4-1 בעבירת סיוע ולכך שהם אינם המבצעים העיקריים.",לא נכון
"לטענתו, במקרים רבים שנסיבותיהם דומות הושת מאסר בעבודות שירות, כפי שעולה מפסקי הדין הבאים:",לא נכון
"בעניין נסיבות העבירה טען בא-כוח הנאשמים 4-1, כי הקמת המעבדה הייתה בחודש יוני 2020, מעורבות הנאשמים המסייעים הייתה על-פי טענתו בסוף חודש דצמבר (בכתב האישום כתוב ""חודש דצמבר""), וכי הם נתפסו ביום 8.2.2021.",נכון
"לפיכך לטענתו, דובר במעורבות במשך כחודש וחצי ולטענתו, יש בכך כדי להשליך על חומרת המעשים.",לא נכון
"עוד טען, כי הנאשמים 4-1 לא הפיקו רווח כלכלי.",לא נכון
"בנוסף לכך טען בעניין כל אחד מהנאשמים 4-1, כלהלן: בעניין הנאשם 1, הסיוע היה בהסעת עובדים בעוד שלטענת בא-כוחו, ""אין מחלוקת שהוא לא נכנס למעבדה, הוא בסך הכול הסיע פעמיים עובדים למעבדה"", ולכן טען, כי מדובר יותר בעבירת מתן אמצעים לעשיית פשע; בעניין הנאשם 2, הסיוע היה בהתקנת מזגנים פעמיים ולטענת בא-כוחו הוא קיבל בתמורה מאות שקלים בלבד; בעניין הנאשמים 4-3, סייעו באמצעי בנייה הקשורים למעבדה ולא בבניית קיר למעבדה וכי הגיעו פעם או פעמיים.",נכון
"עוד טען, כי אף לא אחד מהנאשמים היה בתוך המעבדה וכן כי הם קיבלו בתמורה מאות שקלים בלבד.",נכון
"לנוכח הסיוע המצומצם, כטענת בא-כוח הנאשמים 4-1 ובהתאם לפסיקה שהציג, טען כי יש לקבוע מתחם עונש הכולל מאסר בעבודות שירות בלבד.",לא נכון
"חשוב להדגיש כבר עתה, כי כמעט כל העובדות שעליהן ביקש בא-כוח הנאשמים 4-1 לבסס את טענותיו כלל אינן מופיעות בכתב האישום המתוקן שבעובדותיו הודו הנאשמים ולכן יש להתעלם מהן.",לא נכון
"בכלל זה יש להתעלם מטענותיו בעניין העובדות הבאות: טענתו כי הנאשמים 4-1 כלל לא נכנסו אל המעבדה (הוא אף לא טרח להסביר כיצד למשל, ניתן להתקין מזגנים בלי להיכנס אל המעבדה); הטענה שהנאשם 1 הסיע עובדים רק פעמיים; הטענה שהנאשם 2 התקין מזגנים רק פעמיים; הטענה שהנאשמים 4-3 סייעו ""באמצעי בניה""; הטענה שהנאשמים לא קיבלו כל תמורה, אשר שונתה תוך כדי טענותיו לטענתו כי התמורה שקיבלו הייתה בסך מאות שקלים בלבד.",נכון
"כמו כן, בכל הכבוד, לא יתכן מצב שבו נאשמים מודים בעובדות כתב אישום, גם אם מתוקן, ולאחר מכן בא-כוחם מנסה לרוקן מתוכן את האמור בו, בעודו מנסה להציג את הדברים כאילו בפועל, הנאשמים כלל לא עשו דבר.",לא נכון
"אם לטענתו הם לא עשו דבר, עולה שאלה מדוע הם הודו.",לא נכון
"לא זו בלבד, ניכר כי נעלמה ממנו הודאת הנאשמים בכך שנוסף לכל הפעולות שתואר כי כל אחד מהנאשמים עשה, הנאשמים אף הודו בכך ש""ביצעו פעולות אלה ואחרות בכוונה לסייע לנאשם 5 בהקמת המעבדה ותפעולה"" (פסקה 5 בעובדות כתב האישום המתוקן.",נכון
"מדובר אפוא, בנאשמים אשר הורשעו על-פי הודאתם בכך שעשו פעולות שונות לשם סיוע בהקמת המעבדה ולשם סיוע בהפעלתה, גם אם לא כל פעולותיהם פורטו בכתב האישום.",נכון
"בעניין נסיבותיהם של כל אחד מהנאשמים 4-1, הפנה בא-כוחם אל האמור בתסקיר והוסיף את הדברים הבאים:",לא נכון
"הנאשם 1, שלום ג'נאח – מעבר לאמור בתסקיר, מאז שנת 2018 הוא עבר שינוי משמעותי, אשר התבטא בנישואיו, בטיפול בנושא התמכרותו להימורים ובהשתלבות בעבודה מסודרת.",לא נכון
כיום הוא גם לומד שיעורי תורה.,לא נכון
שירות המבחן נדרש לפוטנציאל השיקומי ולכן המליץ שיועמד בצו מבחן למשך שנה שלאחריו שירות המבחן ידווח על מצבו הטיפולי והשיקומי.,לא נכון
"הנאשם 2, שלומי משען – בעניין הרשעותיו הקודמות טען בא-כוחו, כי כולן ישנות וכי מדובר בהרשעות שהתיישנו.",לא נכון
"המשמעותית ביותר היא מלפני 24 שנים ומכל מקום, בשמונה השנים האחרונות אין לו אף הליך.",לא נכון
התסקיר בעניינו מפרט את התהליך הטיפולי שעבר באופן יזום וכי אף כיום הוא בטיפול עצמאי וכי יש לכך משמעות רבה מאחר שמדובר במי שהחליט לטפל בעצמו.,לא נכון
גם לגביו הומלץ כי יינתן צו מבחן ושבתום תקופת המבחן יימסר דיווח לבית המשפט.,לא נכון
"הנאשם 3, ארז דוד גרופי – אין לחובתו הרשעות קודמות ואף יש לתת משקל לנסיבות פטירת בתו.",לא נכון
"מדובר במי ששירת שירות צבאי מלא, שכיום עובד בעבודה מסודרת.",לא נכון
"הסתבכותו הכלכלית קשורה גם בטיפולים שנדרש לממן, לרבות טיפולים זוגיים.",לא נכון
"נאשם 4, מושיק זרקון – בא-כוחו הפנה אל דבריו בתסקיר בעניין הטראומה האישית שלפי דבריו עבר.",לא נכון
"מדובר במי ששירת שירות צבאי מלא ולאחר מכן שהה בחו""ל כשמונה שנים.",לא נכון
אף שירות המבחן התרשם כי אינו בעל דפוסים עבריינים מושרשים ואף הוא פנה בעבר באופן עצמאי וביוזמתו לטיפול ביחידה להתמכרויות.,לא נכון
הוא אף טופל בקנאביס רפואי.,לא נכון
"בא-כוח הנאשמים 4-1 הוסיף עוד, כי הקנס הגבוה המוסכם, בסך 50,000 ₪, שהנאשמים הסכימו לשלם הוא חלק מהעובדה שהם מכירים באחריותם לעבירה ולטענתו, אף עניין זה צריך להילקח בחשבון בעת קביעת עונשם.",לא נכון
"כן טען, כי הנאשמים הודו ולטענתו, היה בכך כדי לחסוך מזמנו של בית המשפט.",לא נכון
"כמו כן, מדובר בנאשמים ששהו במשך תקופה בתנאים מגבילים.",לא נכון
"לנוכח כל האמור טען בא-כוח הנאשמים 4-1, כי יש לקבוע מתחם עונש בין מאסר מותנה למספר חודשי עבודות שירות ולהשית עליהם עבודות שירות לתקופה קצרה.",לא נכון
"אף בא-כוח הנאשם 6 טען כי פרק הזמן שבו נעברה העבירה היה קצר, כי החל בסוף חודש דצמבר ונמשך עד המעצר ביום 8.2.2021, וכי חלקו של הנאשם 6 היה קטן.",לא נכון
"לטענתו, הציוד של המעבדה שונע ברכבו, אך לא נאמר איזה ציוד ולכן יש לתת לכך פרשנות מקלה.",לא נכון
"בדומה טען, כי לא נאמר שהנאשם 6 היה במעבדה ולפיכך טען, כי אין מקום להשתת מאסר בפועל.",לא נכון
"בא-כוח הנאשם הפליג בטענותיו בעודו מפרט באריכות רבה מאד שורה של פעולות סיוע תיאורטיות אפשריות, אשר לא נאמר שהנאשם 6 עשה, טען כי לא נטען שכל הנאשמים פעלו יחד ובדומה, טען כי הוא לא עבר שורה של עבירות שונות שבהן לא הואשם.",לא נכון
"במילים אחרות, במקום לטעון בעניין מעשיו של הנאשם 6 ובעניין נסיבות העבירה שעבר, בחר בא-כוחו לטעון באריכות בעניין מעשים ופעולות שהנאשם 6 לא עשה ולא הואשם בקשר אליהן וממילא לא ראינו צורך לפרט טענות אלו.",לא נכון
"לנוכח טענותיו בעניין המעשים אשר לא נעשו טען, כי יש לקבוע ענישה מקלה.",לא נכון
"עוד טען, כי מאחר שלא נאמר שהנאשם 6 קיבל תמורה כספית, אף יש להניח לטובתו, שלא קיבל תמורה על מעשיו.",לא נכון
"בעניין מתחם העונש ההולם טען כי עליו להיקבע בין כארבעה חודשי מאסר בעבודות שירות לבין כעשרה חודשי מאסר בפועל ולטענתו, יש לסטות ממתחם העונש ההולם, מאחר שהנאשם 6 הוא נורמטיבי ומאחר שחסך מזמנו של בית המשפט בניהול התיק שבו, כך טען, עשרות עדים ואשר אילו נשמעו, היה לדבריו, לוקח שנים לנהל הליך כזה (יוער כי כתב האישום מחזיק 28 עדים, אשר ניכר כי רובם, כמעט כולם, טכניים).",לא נכון
להלן יובאו הדברים שאמרו הנאשמים בתום שמיעת הטיעונים לעונש.,לא נכון
"הנאשם 1, שלום ג'נח: ""אני נמצא במקום טוב היום, בדרך אחרת.",לא נכון
אני מקווה להמשיך אותה.,לא נכון
"הנאשם 2, שלומי משען: ""אני עברתי שיקום מאוד אינטנסיבי, אחרי 20 שנה של שימוש כבד.",לא נכון
"אני אבקש שבית המשפט ייתן לי הזדמנות להוכיח את עצמי, אני לא אחזור לסורי ולא אעשה טעויות יותר.",לא נכון
"הנאשם 5, הלל שלום ארליך: ""עברתי תהליך משמעותי גם לפני המעצר, והנסיבות שהגעתי למעשים שעשיתי.",לא נכון
"ההחלטה לסגור את המעבדה התקבלה אצלי, ויכולה להעיד על כך הפסיכולוגית שהייתי אצלה בטיפול עוד לפני המעצר.",נכון
"המעצר עצמו והתקופה שאחריה היו בשבילי משמעותיות בהרבה מישורים בחיים, התחתנתי לפני כמה חודשים, הקמתי בית במקום שאני רוצה להיות בו.",לא נכון
אני עוסק היום עם נוער בסיכון ומשפיע עליהם לטובה.,לא נכון
הבאתי את עצמי למקום יותר טוב בחיים.,לא נכון
"המקום שלנו בעולם הוא לברר את הטוב מתוך הרע, וזה מה שבית המשפט עושה.",לא נכון
"הנאשם 6, דוד ביטרוב: ""אני מכה על חטא, לוקח אחריות מלאה על מעשיי.",לא נכון
"עברתי טלטלה וחשבון נפש במהלך השנה האחרונה, קרסתי על עצמי.",לא נכון
אני מנסה לשקם את חיי ולהסתכל קדימה.,לא נכון
"עבירות הסמים לסוגיהן ובראשן עבירת ייצור והפקת סמים, שעונשה המרבי עשרים שנות מאסר, נועדו להגן על הציבור מפני הנזקים הישירים והעקיפים הנגרמים מצריכת סמים.",לא נכון
עם נזקים אלו נמנים בעיקר הפגיעה בצרכני סמים ובגופם וכן הנזקים העקיפים הנגרמים לכלל הציבור בשל עבירות הרכוש ועבירות האלימות הנלוות לצריכת הסמים.,לא נכון
"תופעת הקמת מעבדות לגידול סמים הפכה לנפוצה מאד ולמסוכנת ולפיכך נקבע לא אחת, כי היא מחייבת ענישה הולמת, אשר יהיה בה כדי להרתיע את מי שבוחר בדרך זו לעשיית רווחים קלים תוך פגיעה בכלל הציבור.",נכון
"ריבוי המקרים המובאים לפנינו בעת האחרונה – של גידול, ייצור והפקת קנבוס לשם הפצה ומכירה, כמו גם הפצה ומכירה של קנבוס תוך שימוש באפליקציית ה'טלגראס', מעוררים את התחושה, הגם שאינה מגובה בסטטיסטיקה או במחקר אמפירי, כי המדיניות שבאה לידי ביטוי בחוק הסמים המסוכנים (עבירת קנס מיוחדת – הוראת שעה), התשע""ח-2018 (שתחולתו ביום 1.4.2019) – זלגה שלא בטובתה למחוזות אחרים.",לא נכון
"צרכנים ומשתמשים ואנשים נורמטיביים, שבעבר לא היו נכונים ליטול על עצמם סיכון להסתבך בעולם הפלילי, נכונים כיום לילך צעד נוסף ולהפוך למגדלים ולסוחרים בסם.",לא נכון
"זאת, מתוך תפיסה שגויה כי מדובר ב'סמים קלים', ובהינתן הטכנולוגיה המאפשרת מכירה והפצה קלה ו'סטרילית' של סמים.",לא נכון
"ברם, סחר בסמים הוא סחר בסמים.",לא נכון
"ידע כל מי שמהרהר בדרכים לעשיית כסף קל, כי מדיניות הענישה לא השתנתה ובית המשפט רואה בחומרה עבירות של סחר והפצה של סמים מסוכנים, גם סמים 'קלים', תוך הטלת ענישה משמעותית ומרתיעה.",לא נכון
"מעבדת הסמים הנדונה היא יחסית גדולה, שהתוצרת בה הייתה בהיקף גדול.",נכון
"הנאשם 5 הוא מי שהקים אותה ואילו הנאשמים האחרים סייעו בידו הן בהקמתה הן בהפעלתה, כל אחד בדרכו.",לא נכון
"כך בעוד שכל הנאשמים הסבירו (כפי שעולה מהתסקירים שהוגשו מטעם שירות המבחן), כי עשו כן מתוך רצון לעשיית כסף קל (כאמור בעניין זרזורי).",לא נכון
"בנסיבות אלו, הפגיעה בערכים החברתיים מבחינת מעשיו של הנאשם 5 היא ברף גבוה ומבחינת מעשיהם של שאר הנאשמים, במידה בינונית.",לא נכון
"פסקי הדין שאליהם הפנו באי-כוח הצדדים לשם הצגת מדיניות הענישה הנהוגה מצביעים על טווח ענישה רחב בכל הנוגע לעבירות ייצור והפקת סמים ולעבירות נלוות לעבירה זו, אשר נעברות בקשר להקמת מעבדות לייצור קנאביס – הצצות בזו אחר זו כפטריות אחר הגשם – ולשם הפעלתן.",נכון
"מכל אותם פסקי דין שהוגשו, כמו גם מפסקי הדין הרבים הנזכרים בהם, עולה כי אמנם ישנו טווח ענישה רחב המושת על עוברי העבירה העיקריים ועל המסייעים בידיהם.",לא נכון
"כמו בכל עבירה אחרת, הענישה נקבעת לאחר שקלול משתנים רבים ובכלל זה מהות העבירות לרבות העבירות הנלוות שנעברו, נסיבות העבירות ובכלל זה חלקו של כל אחד מהנאשמים, תפקידו במעבדה, היקפי ייצור הסמים והכמות שנתפסה, לצד נסיבותיהם האישיות של הנאשמים.",נכון
"כמו בכל עבירה, קלה כחמורה, תמיד יימצאו פסקי-דין אשר הענישה שנקבעה בהם מחמירה ולצדם יימצאו פסקי-דין אשר בשל נסיבות כאלה ואחרות, ראו בתי המשפט להקל בענישה ולחרוג מרמת הענישה הנהוגה.",לא נכון
"מכל מקום, מכל פסקי הדין שאליהם הפנו הצדדים וכך גם מאותם פסקי דין הרבים אשר נזכרו באותם פסקי דין, עולה בבירור כי מתחמי הענישה כוללים עונשי מאסר בפועל וכי הכלל הוא כי הן עונשו של עובר העבירה העיקרי הן עונשו של המסייע הוא מאסר בפועל וכי ענישה אחרת ובכלל זה, מאסר בעבודות שירות, הוא החריג.",לא נכון
"בנסיבות דומות שבהן נדון עונשו של מי שהורשע בעבירות סמים בקשר להקמת מעבדה לייצור סם מסוג קנאביס, נקבע כי מאחר שמדובר בעבירות הנעברות ממניעים כלכליים, הכלל הוא ענישה משמעותית ומרתיעה לצד ענישה כלכלית.",נכון
השאלה איננה אם עלה בידי באי-כוח הנאשמים לאתר מקרים שבהם ראו בתי המשפט לחרוג מהכלל ולהשית על הנאשמים ענישה מקלה ובכלל זה מאסר בעבודות שירות.,לא נכון
השאלה שיש לבחון היא אם נסיבותיהם של הנאשמים הנדונים מבססות חריג אשר מצדיק לחרוג מהכלל.,לא נכון
"עוד יש להעיר, כי משני טעמים ניתן משקל משני בלבד לגזרי דין אשר בהם אומצה ענישה שעליה הוסכם במסגרת הסדר טיעון: האחד, לנוכח ההסכמה על העונש, לא ניתן לדעת מה היו השיקולים שהובילו להסכמה להשתת ענישה מקלה, אשר חרגה ממתחמי הענישה המקובלים.",לא נכון
"השני, באותם מקרים שבהם הצדדים השכילו להסכים לעונש שיושת על הנאשם, דובר במצב שבו באופן אמתי היה חיסכון במשאבים וחסכון בזמן שיפוטי, אשר הצדיקו הקלה משמעותית בעונש גם מטעם זה.",לא נכון
"במצב שבו ההסכמה היא רק בעניין ההרשעה אך לא בעניין העונש, מדובר במצב שונה לחלוטין.",לא נכון
"אמנם נחסך הצורך בשמיעת ראיות ולעתים הדבר מביא לחסכון משמעותי בזמן שיפוטי, אך יש לתת את הדעת לכך שאין כל מקום להשוואה בין הסדר טיעון הכולל הסכמה בעניין העונש, אשר רק בו ישנו חסכון אמתי בזמן שיפוטי ובמשאבים ציבוריים, לבין מצב שבו אין הסכמה בעניין העונש, כמו במקרה הנדון, שאז נדרשים משאבים רבים מאד ויקרים מאד.",לא נכון
"בכלל זה, משאבי שירות המבחן ומשאבי זמנו היקר מאד של בית המשפט, לרבות זמנו המוקדש לדיונים וזמנו היקר מאד המוקדש לכתיבת גזר הדין.",לא נכון
"אמנם הסכמה בעניין העונש תלויה גם במאשימה ולא רק בנאשם, אך יש לדעת שאין כל מקום להשוואה בין הסדר טיעון הכולל הסכמה בעניין העונש, לבין הסדר טיעון המחייב הקדשת משאבים רבים מאד ויקרים מאד לשם מתן גזר הדין.",לא נכון
"על-פי מדיניות הענישה הנוהגת וכפי שנקבע בפסקי-דין רבים, הכלל בעניין עונשו של המסייע לעבירות ייצור סמים והפקתם במעבדות לייצור קנאביס, הוא בדרך כלל מאסר בפועל.",נכון
לעניין זה ראו בין השאר את פסקי הדין הבאים:,לא נכון
(1)	עניין דרחי – המבצע העיקרי נדון ל-30 חודשי מאסר בפועל ואילו המסייע נדון ל-15 חודשי מאסר בפועל.,לא נכון
"(2)	עניין אלחרומי – המערער שהורשע בעבירת סיוע, נדון ל-20 חודשי מאסר בפועל.",לא נכון
"(3)	עניין אדרי – הנאשם שהורשע בסיוע, נדון לשנת מאסר בפועל.",לא נכון
"בדומה, בעניין המבצע העיקרי נראה כי רמת הענישה היא אמנם בדרך כלל בטווח שבין 24 ל-48 חודש ואף מעבר לכך.",לא נכון
"עוד עולה, כי על-פי רוב נקבע מתחם עונש הולם התואם טווח זה.",לא נכון
"כך עולה מפסקי הדין שאליהם הפנתה המאשימה, כמו גם מפסקי דין נוספים, כלהלן.",לא נכון
(1)	עניין בן סימון – נקבע מתחם עונש בין 28 ל-48 חודשי מאסרו והושתו 36 חודשי מאסר בפועל.,לא נכון
"(2)	עניין דרחי – בעניין המבצע העיקרי נקבע כאמור, מתחם עונש בין 24 ל-48 חודשי מאסר בפועל והושתו 30 חודשי מאסר בפועל.",לא נכון
(3)	עניין פוקלונסקי – נקבע מתחם עונש בין 24 ל-48 חודשי מאסר.,לא נכון
הושתו 33 חודשי מאסר בפועל.,לא נכון
"(5)	עניין זנזורי – המערער הורשע בעבירות ייצור והפקת סמים, קשירת קשר לפשע ושיבוש מהלכי משפט.",לא נכון
"הוא הקים מעבדה לגידול קנאביס שנתפסו בה סמים במשקל 137.6 ק""ג.",נכון
נקבע מתחם עונש בין 36 ל-56 חודשי מאסר בפועל.,לא נכון
"בשל הסיכוי הממשי לשיקום, הושתו 26 חודשי מאסר בפועל, מאסר מותנה וקנס בסך 7,000 ₪.",לא נכון
ערעור הנאשם וערעור המדינה נדחו.,לא נכון
"מדובר במעבדה גדולה, אשר בין השאר כללה שלושה חללים שנועדו לגידול שתילי קנאביס בעציצים, חדר משאבות וחלל נוסף שבו נמצאו משטחים שעליהם הונח הקנאביס לייבוש.",נכון
"במעבדה אף נמצא ציוד רב, מגוון, מתוחכם ויקר, אשר כלל תשעה מזגנים, חמישה מנועי מזגנים, 39 מאווררים, 11 מפוחים, 1,356 אדניות, 105 מנורות, 93 שנאים, 180 מנורות ובתי מנורה, 10 חביות, שקי אדמה, בריכות השקיה, מערכת השקיה וטפטפות, דשנים, מכשירי אידוי וכלי עבודה.",נכון
אף כמות הסמים שנתפסה היא גדולה.,לא נכון
"במקום נתפסו 790 שתילי קנאביס ובנוסף לכך כ-82.5 ק""ג עלי קנאביס מיובשים.",לא נכון
"שווי הסמים שנתפס הוא בסך 4,124,250 ₪.",לא נכון
"לכל אלו מתווספת העובדה שלשם הפעלת המעבדה, נעשו שינויים במערכת החשמל כדי למנוע את קריאת צריכת החשמל וכדי להימנע מתשלום עבור החשמל וכל זאת, תוך יצירת מפגע בטיחותי.",נכון
"שווי החשמל שניטל שלא כדין הוא בסך 135,382 ₪.",לא נכון
"הנאשם 5 עבר עבירת ייצור הכנה והפקת סמים ובכך נמצא אחראי לכל נושא הקמת המעבדה ותפעולה כמתואר וכן עבר עבירת גניבה בנסיבות מיוחדות, שעניינה גניבת החשמל.",נכון
"הנאשמים 1, 2, 3, 4 ו-6 סייעו להקמת מעבדת הסמים או להפעלתה, כל אחד לפי חלקו כמתואר בעובדות כתב האישום שהובאו לעיל ואף כאמור, בפעולות שונות אחרות נוספות.",נכון
"מקובלת עליי טענת המאשימה, כי אין משמעות רבה להבחנה המאולצת שניסו לעשות מי מבין באי-כוח הנאשמים בעניין חלקם של כל אחד מהנאשמים בסיוע להפעלת המערך המורכב של מעבדת הסמים המתוארת.",נכון
"מדובר אפוא, בעבירות אשר נעברו לאחר תכנון, באופן מודע, ממניעים כלכליים ואשר לנוכח היקפן נזקן לחברה ולכלל הציבור הוא כידוע, רב וחמור.",לא נכון
"מתחם העונש ההולם נקבע כידוע, בהתאם לעיקרון ההלימה, תוך התחשבות בערכים החברתיים הנפגעים ממעשיי העבירות ובמידת הפגיעה בהם וכן תוך שקילת מדיניות הענישה הנהוגה ושקילת בנסיבות שבהן נעברו העבירות, כמפורט לעיל.",לא נכון
"בהתאם לכל האמור, בנסיבות הנדונות מתחם העונש ההולם בעניין הנאשם 5, הוא (כפי שטענה המאשימה), בין 24 ל-48 חודשי מאסר בפועל.",לא נכון
"בעניין הנאשמים 1, 2, 3, 4 ו-6, מתחם העונש ההולם בנסיבות הנדונות (מעט נמוך מהמתחם שלשיטת המאשימה יש לקבוע), הוא בין 10 ל-20 חודשי מאסר בפועל.",לא נכון
כל ששת הנאשמים הודו והכירו באחריותם לעבירות שעברו.,לא נכון
